SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Thu Jan  8 11:05:14 2026

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 11:05:14 pb_init:188                 Entering pb_init. cur_board = 0
(I) 11:05:14 os_count_boards:177         Registering WinDriver...
(I) 11:05:14 RegisterWinDriver:135       Using WinDriver version 1031.
(I) 11:05:14 RegisterWinDriver:151       lic.dwLicense:  0x2051dfc
(I) 11:05:14 RegisterWinDriver:152       lic.dwLicense2: 0x88
(I) 11:05:14 RegisterWinDriver:153       license setup succeeded
(I) 11:05:14 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 11:05:14 os_usb_count_devices:130    -SP9 Board Detected (pid_c1ab).
(I) 11:05:14 os_usb_count_devices:145    Device Handle=0x46c
(I) 11:05:14 os_usb_count_devices:146    --System Path: \\?\usb#vid_0403&pid_c1ab#7&1b18b99b&0&4#{ae18aa60-7f6a-11d4-97dd-00010229b959}
(I) 11:05:14 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 1 Devices.
(I) 11:05:14 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 11:05:14 do_os_init:1623             do_os_init: board # 0
(I) 11:05:14 do_os_init:1624             do_os_init: num_pci_boards: 0
(I) 11:05:14 do_os_init:1625             do_os_init: num_usb_devices: 1
(I) 11:05:14 do_os_init:1635             do_os_init: initializing usb
(I) 11:05:14 usb_get_num_endpoints:434   Detected endpoints: 3
(I) 11:05:14 usb_get_friendly_name:404   Friendly Name: SpinCore Technologies, Inc. PulseBlaster
(I) 11:05:14 usb_get_driver_version:462  Driver version: 50594147
(I) 11:05:14 get_caps:22                 dev_id=0xc1ab
(I) 11:05:14 get_caps:782                found USB PulseBlaster (firmware_id=0x2101)
(I) 11:05:14 get_caps:797                pb_core_version=20090617
(I) 11:05:14 pb_start_programming:265    pb_start_programming (device=0)
(I) 11:05:14 pb_start_programming:276    pb_start_programming: Using new programming method.
(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=300.000000, flags=0x00000004
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 4000000 93.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=3000.000000, flags=0x00000000
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 0 5D9.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=85.000000, flags=0x00000020
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 20000000 28.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=1000.000000, flags=0x00000000
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 0 1F1.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=5300.000000, flags=0x00000010
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 10000000 A57.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=300.000000, flags=0x00000018
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 18000000 93.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=700.000000, flags=0x00000010
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 10000000 15B.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=300.000000, flags=0x00000018
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 18000000 93.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=41400.000000, flags=0x00000010
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 10000000 50D9.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=300.000000, flags=0x00000018
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 18000000 93.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=700.000000, flags=0x00000010
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 10000000 15B.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=300.000000, flags=0x00000018
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 18000000 93.

(I) 11:05:14 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=700.000000, flags=0x00000010
(I) 11:05:14 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 10000006 15B.

(I) 11:05:14 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 11:05:14 pb_stop_programming:467     pb_stop_programming(PULSE_PROGRAM): Writing shape period information to DDS-II board
(I) 11:05:14 pb_start:488                pb_start():
(I) 11:05:14 do_os_close:1655            do_os_close: closing usb
